Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
27	00:16:23	00:16:23	00:16:23	00:16:23	00:16:23	00:16:23			00:16:23	00:16:23	00:16:23	00:16:23	00:16:26	00:16:26	00:16:26	00:16:26	00:16:26	00:16:26			00:16:27	00:16:27		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
28	00:16:27	00:16:27	00:16:27	00:16:27	00:16:27	00:16:27			00:16:27	00:16:27	00:16:27	00:16:27	00:16:30	00:16:30	00:16:30	00:16:30	00:16:30	00:16:30			00:16:31	00:16:31		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
29	00:16:31	00:16:31	00:16:31	00:16:31	00:16:31	00:16:31			00:16:31	00:16:31	00:16:31	00:16:31	00:16:33	00:16:33	00:16:33	00:16:33	00:16:33	00:16:33			00:16:34	00:16:34		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
30	00:16:34	00:16:34	00:16:34	00:16:34	00:16:34	00:16:34			00:16:34	00:16:34	00:16:34	00:16:34	00:16:36	00:16:36	00:16:36	00:16:36	00:16:36	00:16:36	00:16:36	00:16:36	00:16:38	00:16:38		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00	00:00:00	00:00:01	00:00:03
31	00:16:38	00:16:38	00:16:38	00:16:38	00:16:38	00:16:38			00:16:38	00:16:38	00:16:38	00:16:38	00:16:40	00:16:40	00:16:40	00:16:40	00:16:41	00:16:41			00:16:42	00:16:42		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
32	00:16:42	00:16:42	00:16:42	00:16:42	00:16:42	00:16:42			00:16:42	00:16:42	00:16:42	00:16:42	00:16:44	00:16:44	00:16:44	00:16:44	00:16:44	00:16:44			00:16:45	00:16:45		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
33	00:16:45	00:16:45	00:16:45	00:16:45	00:16:45	00:16:45			00:16:45	00:16:45	00:16:45	00:16:45	00:16:47	00:16:47	00:16:47	00:16:47	00:16:47	00:16:47			00:16:48	00:16:48		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
34	00:16:48	00:16:48	00:16:48	00:16:48	00:16:48	00:16:48			00:16:48	00:16:48	00:16:48	00:16:48	00:16:50	00:16:50	00:16:50	00:16:50	00:16:50	00:16:50			00:16:52	00:16:52		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
35	00:16:52	00:16:52	00:16:52	00:16:52	00:16:52	00:16:52			00:16:52	00:16:52	00:16:52	00:16:52	00:16:54	00:16:54	00:16:54	00:16:54	00:16:54	00:16:54			00:16:55	00:16:55		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
36	00:16:55	00:16:55	00:16:55	00:16:55	00:16:55	00:16:55			00:16:55	00:16:55	00:16:55	00:16:55	00:16:58	00:16:58	00:16:58	00:16:58	00:16:58	00:16:58			00:17:02	00:17:02		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:03	00:00:06
37	00:17:02	00:17:02	00:17:02	00:17:02	00:17:02	00:17:02			00:17:02	00:17:02	00:17:02	00:17:02	00:17:04	00:17:04	00:17:04	00:17:04	00:17:04	00:17:04			00:17:06	00:17:06		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:04
38	00:17:06	00:17:06	00:17:06	00:17:06	00:17:06	00:17:06			00:17:06	00:17:06	00:17:06	00:17:06	00:17:08	00:17:08	00:17:08	00:17:08	00:17:08	00:17:08			00:17:13	00:17:13		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:04	00:00:06
39	00:17:13	00:17:13	00:17:13	00:17:13	00:17:13	00:17:13			00:17:13	00:17:13	00:17:13	00:17:13	00:17:17	00:17:17	00:17:17	00:17:17	00:17:17	00:17:17			00:17:18	00:17:18		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:01	00:00:04
40	00:17:18	00:17:18	00:17:18	00:17:18	00:17:18	00:17:18			00:17:18	00:17:18	00:17:18	00:17:18	00:17:21	00:17:21	00:17:21	00:17:21	00:17:21	00:17:21	00:17:21	00:17:21	00:17:23	00:17:23		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00	00:00:00	00:00:02	00:00:04
41	00:17:24	00:17:24	00:17:24	00:17:24	00:17:24	00:17:24			00:17:24	00:17:24	00:17:24	00:17:24	00:17:26	00:17:26	00:17:26	00:17:26	00:17:26	00:17:26			00:17:27	00:17:27		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
42	00:17:27	00:17:27	00:17:27	00:17:27	00:17:27	00:17:27			00:17:27	00:17:27	00:17:27	00:17:27	00:17:29	00:17:29	00:17:29	00:17:29	00:17:29	00:17:29			00:17:31	00:17:31		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:04
43	00:17:31	00:17:31	00:17:31	00:17:31	00:17:31	00:17:31			00:17:31	00:17:31	00:17:31	00:17:31	00:17:34	00:17:34	00:17:34	00:17:34	00:17:34	00:17:34			00:17:36	00:17:36		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:02	00:00:04
44	00:17:36	00:17:36	00:17:36	00:17:36	00:17:36	00:17:36			00:17:36	00:17:36	00:17:36	00:17:36	00:17:38	00:17:38	00:17:38	00:17:38	00:17:38	00:17:38			00:17:39	00:17:39		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
45	00:17:40	00:17:40	00:17:40	00:17:40	00:17:40	00:17:40			00:17:40	00:17:40	00:17:40	00:17:40	00:17:41	00:17:41	00:17:41	00:17:41	00:17:41	00:17:41			00:17:42	00:17:42		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
46	00:17:42	00:17:42	00:17:42	00:17:42	00:17:42	00:17:42			00:17:42	00:17:42	00:17:42	00:17:42	00:17:44	00:17:44	00:17:44	00:17:44	00:17:44	00:17:44			00:17:45	00:17:45		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
47	00:17:45	00:17:45	00:17:45	00:17:45	00:17:45	00:17:45			00:17:45	00:17:45	00:17:45	00:17:45	00:17:48	00:17:48	00:17:48	00:17:48	00:17:48	00:17:48			00:17:49	00:17:49		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:03
48	00:17:49	00:17:49	00:17:49	00:17:49	00:17:49	00:17:49			00:17:49	00:17:49	00:17:49	00:17:49	00:17:51	00:17:51	00:17:51	00:17:51	00:17:51	00:17:51			00:17:53	00:17:53		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
49	00:17:53	00:17:53	00:17:53	00:17:53	00:17:53	00:17:53			00:17:53	00:17:53	00:17:53	00:17:53	00:17:55	00:17:55	00:17:55	00:17:55	00:17:55	00:17:55			00:17:56	00:17:56		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
50	00:17:56	00:17:56	00:17:56	00:17:56	00:17:56	00:17:56	00:17:56	00:17:56	00:17:56	00:17:56	00:17:56	00:17:56	00:17:58	00:17:58	00:17:58	00:17:58	00:17:58	00:17:58	00:17:58	00:17:58	00:17:59	00:17:59		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:01	00:00:03
51	00:17:59	00:17:59	00:17:59	00:17:59	00:17:59	00:17:59			00:17:59	00:17:59	00:17:59	00:17:59	00:18:01	00:18:01	00:18:01	00:18:01	00:18:01	00:18:01			00:18:02	00:18:02		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
